Gen.,Old Testament,old-testament,Genesis
Ex.,Old Testament,old-testament,Exodus
Lev.,Old Testament,old-testament,Leviticus
Num.,Old Testament,old-testament,Numbers
Deut.,Old Testament,old-testament,Deuteronomy
Josh.,Old Testament,old-testament,Joshua
Judg.,Old Testament,old-testament,Judges
Ruth,Old Testament,old-testament,Ruth
1 Sam.,Old Testament,old-testament,1 Samuel
2 Sam.,Old Testament,old-testament,2 Samuel
1 Kgs.,Old Testament,old-testament,1 Kings
2 Kgs.,Old Testament,old-testament,2 Kings
1 Chr.,Old Testament,old-testament,1 Chronicles
2 Chr.,Old Testament,old-testament,2 Chronicles
Ezra,Old Testament,old-testament,Ezra
Neh.,Old Testament,old-testament,Nehemiah
Esth.,Old Testament,old-testament,Esther
Job,Old Testament,old-testament,Job
Ps.,Old Testament,old-testament,Psalms
Prov.,Old Testament,old-testament,Proverbs
Eccl.,Old Testament,old-testament,Ecclesiastes
Song,Old Testament,old-testament,Song of Solomon
Isa.,Old Testament,old-testament,Isaiah
Jer.,Old Testament,old-testament,Jeremiah
Lam.,Old Testament,old-testament,Lamentations
Ezek.,Old Testament,old-testament,Ezekiel
Dan.,Old Testament,old-testament,Daniel
Hosea,Old Testament,old-testament,Hosea
Joel,Old Testament,old-testament,Joel
Amos,Old Testament,old-testament,Amos
Obad.,Old Testament,old-testament,Obadiah
Jonah,Old Testament,old-testament,Jonah
Micah,Old Testament,old-testament,Micah
Nahum,Old Testament,old-testament,Nahum
Hab.,Old Testament,old-testament,Habakkuk
Zeph.,Old Testament,old-testament,Zephaniah
Hag.,Old Testament,old-testament,Haggai
Zech.,Old Testament,old-testament,Zechariah
Mal.,Old Testament,old-testament,Malachi
Matt.,New Testament,new-testament,Matthew
Mark,New Testament,new-testament,Mark
Luke,New Testament,new-testament,Luke
John,New Testament,new-testament,John
Acts,New Testament,new-testament,Acts
Rom.,New Testament,new-testament,Romans
1 Cor.,New Testament,new-testament,1 Corinthians
2 Cor.,New Testament,new-testament,2 Corinthians
Gal.,New Testament,new-testament,Galatians
Eph.,New Testament,new-testament,Ephesians
Philip.,New Testament,new-testament,Philippians
Col.,New Testament,new-testament,Colossians
1 Thes.,New Testament,new-testament,1 Thessalonians
2 Thes.,New Testament,new-testament,2 Thessalonians
1 Tim.,New Testament,new-testament,1 Timothy
2 Tim.,New Testament,new-testament,2 Timothy
Titus,New Testament,new-testament,Titus
Philem.,New Testament,new-testament,Philemon
Heb.,New Testament,new-testament,Hebrews
James,New Testament,new-testament,James
1 Pet.,New Testament,new-testament,1 Peter
2 Pet.,New Testament,new-testament,2 Peter
1 Jn.,New Testament,new-testament,1 John
2 Jn.,New Testament,new-testament,2 John
3 Jn.,New Testament,new-testament,3 John
Jude,New Testament,new-testament,Jude
Rev.,New Testament,new-testament,Revelation
1 Ne.,Book of Mormon,book-of-mormon,1 Nephi
2 Ne.,Book of Mormon,book-of-mormon,2 Nephi
Jacob,Book of Mormon,book-of-mormon,Jacob
Enos,Book of Mormon,book-of-mormon,Enos
Jarom,Book of Mormon,book-of-mormon,Jarom
Omni,Book of Mormon,book-of-mormon,Omni
W of M,Book of Mormon,book-of-mormon,Words of Mormon
Mosiah,Book of Mormon,book-of-mormon,Mosiah
Alma,Book of Mormon,book-of-mormon,Alma
Hel.,Book of Mormon,book-of-mormon,Helaman
3 Ne.,Book of Mormon,book-of-mormon,3 Nephi
4 Ne.,Book of Mormon,book-of-mormon,4 Nephi
Morm.,Book of Mormon,book-of-mormon,Mormon
Ether,Book of Mormon,book-of-mormon,Ether
Moro.,Book of Mormon,book-of-mormon,Moroni
D&C,Doctrine and Covenants,doctrine-and-covenants,Doctrine and Covenants
OD,Doctrine and Covenants,doctrine-and-covenants,Official Declaration
Moses,Pearl of Great Price,pearl-of-great-price,Moses
Abr.,Pearl of Great Price,pearl-of-great-price,Abraham
JS—M,Pearl of Great Price,pearl-of-great-price,Joseph Smith—Matthew
JS—H,Pearl of Great Price,pearl-of-great-price,Joseph Smith—History
A of F,Pearl of Great Price,pearl-of-great-price,Articles of Faith
